sitename,date,step,ppfd,vpd,tc,co2,patm,gpp_obs,fapar,LAI,gpp_pmod,gammastar_pmod,kmm_pmod,ci_pmod,vcmax_pmod,jmax_pmod,vcmax25_pmod,rd_pmod,kv_Lloyd,Icsun,Icshade,sEa,kb,Vmax25_canopy,Vmax25_sun,Vmax25_shade,Vmax_sun,Vmax_shade,Av_sun,Av_shade,Jmax25_sun,Jmax25_shade,Jmax_sun,Jmax_shade,J_sun,J_shade,Aj_sun,Aj_shade,Acanopy_sun,Acanopy_shade,gpp_canopy
BE-Vie,2014-08-01,2014-08-01T00:00:00Z,1,547,17.7,375.825,95200,0,0.751915851278072,2.66790270805359,0.044657726276976215,2.7750204052184406,36.64258092481075,27.536507016176177,67.43016738440748,155.9825676566484,203.0615561378026,2.4575302081216384,0.16852899141939998,1.146925260077947,0,-0.36234366363753784,30,498.5582675280015,6.754496025248596,491.8037715027529,3.502294529155403,255.00668768084617,1.3512504130793113,98.38632622077822,40.1773734814077,835.6581852645147,25.724318965647168,535.0458688880194,0.43432811024646284,0,0.08126119520680192,0,0,0,0
BE-Vie,2014-08-01,2014-08-01T00:30:00Z,2,399.40000000000003,16.7,383.405,95200,0,0.751915851278072,2.66790270805359,0.09037486353849447,2.6292205350471,33.609119800901055,28.999722067691874,61.05266269786285,148.341385041865,223.18316105547305,2.7010497243786027,0.15849014595639618,2.3268977840818326,0,-0.33734404332210827,30,550.6430536928505,7.4247361727033026,543.2183175201471,3.5095161612211174,256.7678392960567,1.4781889992881128,108.1492086038282,41.276567323233415,919.9780407330413,24.818769189064085,553.1642801873414,0.8622815546252436,0,0.16593707145331343,0,0,0,0
BE-Vie,2014-08-01,2014-08-01T01:00:00Z,2,394.3,16.5,381.463,95200,0,0.751915851278072,2.66790270805359,0.09022266810752454,2.600876682759294,33.03356610582196,28.88678963660092,59.90579957046246,146.55527893192996,227.6939620404852,2.7556411984829836,0.15674936505918047,2.380018459682052,0,-0.3023723424882835,30,562.2485375488869,7.574963477112668,554.6735740717743,3.514590604021515,257.35444634444065,1.4919846886862265,109.24996301756343,41.52294010246477,938.7646614777098,24.653864718074136,557.3829047044359,0.8808982365191931,0,0.1698166915266545,0,0,0,0
BE-Vie,2014-08-01,2014-08-01T01:30:00Z,2,440.2,16.8,377.243,95200,0,0.751915851278072,2.66790270805359,0.08980709020421856,2.643493261024282,33.90068732053705,28.26343372107627,61.74141784071984,148.73649345986934,221.35099673572722,2.6788761566799364,0.15954485939202928,2.460967322005304,0,-0.25830960709448353,30,545.8423924010154,7.363687879810276,538.4787045212051,3.513123558294628,256.90146749432273,1.447877246298767,105.87779881740148,41.17644812288886,912.2050754147764,24.915097463207438,551.9582041792952,0.9099729231388762,0,0.17371952379534558,0,0,0,0
BE-Vie,2014-08-01,2014-08-01T02:00:00Z,2,391.8,16.4,375.936,95100,0,0.751915851278072,2.66790270805359,0.08987617336594089,2.584087789645773,32.731345493077335,28.461648102887498,59.3399836606293,145.6688475632671,229.98732483647854,2.7833963701488162,0.15589759067302192,2.5817065986281316,0,-0.20614667441349713,30,568.1471930813093,7.651340749325688,560.4958523319837,3.5171553412739254,257.6477829673254,1.487350007352116,108.95521940521027,41.64819882889413,948.3131978244531,24.57256076880645,559.50759784685,0.9520126229999102,0,0.18313925983874915,0,0,0,0
BE-Vie,2014-08-01,2014-08-01T02:30:00Z,2,370.8,16.3,376.695,95100,0,0.751915851278072,2.66790270805359,0.09000748050823557,2.5700973284632687,32.44989627141296,28.6707455416998,58.72516817826093,145.03694575052958,232.09288149004857,2.8088786385775504,0.15497729906355442,2.757505562468474,0,-0.14691214414541262,30,573.6056863351399,7.721478140297637,565.8842081948422,3.5165068355427787,257.714345632554,1.5016712051975314,110.05302423733129,41.76322415008813,957.1501014395412,24.485196781178715,561.1637764998294,1.0135173284664054,0,0.19559837062291816,0,0,0,0
BE-Vie,2014-08-01,2014-08-01T03:00:00Z,2,391.8,16.4,377.662,95100,0,0.751915851278072,2.66790270805359,0.08997831606931293,2.584087789645773,32.731345493077335,28.58971381578784,59.3399836606293,145.6688475632671,229.98732483647854,2.7833963701488162,0.15589759067302192,2.956561649457011,0,-0.08161931460045047,30,568.1471930813093,7.651340749325688,560.4958523319837,3.5171553412739254,257.6477829673254,1.491589145913443,109.26575577509993,41.64819882889413,948.3131978244531,24.57256076880645,559.50759784685,1.08307379700029,0,0.20858836725444674,0,0,0,0
BE-Vie,2014-08-01,2014-08-01T03:30:00Z,2,415.7,16.6,377.432,95100,0,0.751915851278072,2.66790270805359,0.08989598121444502,2.612268233607218,33.30167032624149,28.408473063627742,60.530347067623985,147.19544057520352,225.62605174242506,2.7306145409421547,0.15769495798177102,3.006552091071303,0,-0.01123398070395836,30,556.8857555782124,7.506079360492518,549.3796762177199,3.515157233956111,257.278913570995,1.4694134713637128,107.54827631808875,41.40997015120773,930.0826689970605,24.74244724815419,555.7241719820718,1.1008201331316514,0,0.21107969544945057,0,0,0,0
BE-Vie,2014-08-01,2014-08-01T04:00:00Z,2,368.40000000000003,16.2,379.075,95100,0,0.751915851278072,2.66790270805359,0.0901206941282477,2.55617302096211,32.17089378870132,28.86374551693045,58.169690644682255,144.15807763317648,234.4350728964082,2.837224753144039,0.15415050030361882,0.1890023430333283,1.4596843947574056,0.06333927946752833,7.8992764486590685,579.6276930780369,29.462538616792045,550.1651544612449,13.293379449291931,248.23231470839062,5.729804379238696,106.99480965770931,77.41856333153896,931.3708533164416,45.10328512717098,542.6073973547211,0.0728848057293734,0.563280199375354,0.01410861448894606,0.10903648713494166,0.01410861448894606,0.10903648713494166,-7.446294500645773
BE-Vie,2014-08-01,2014-08-01T04:30:00Z,3,343.40000000000003,15.9,379.682,95100,0,0.751915851278072,2.66790270805359,0.1352586423203742,2.5147943838729323,31.34835454734747,29.09712595167843,56.47917633740261,141.79384558116,241.39150759863153,2.921414241034785,0.1516613003139265,0.9747963876409568,1.5719223069616386,0.14125628850922392,3.551464239027174,597.5514189109513,66.89434368927743,530.6570752216738,29.34948468169943,232.82255033096905,12.907130966817867,102.38923039845206,138.806723650415,899.3776033635451,79.34555934503474,514.1077976957489,0.3745343654466953,0.6064907141209772,0.07293403985481586,0.11810349595695659,0.07293403985481586,0.11810349595695659,-7.6030114291912545
