time,daily_gpp,daily_A0,annual_m,annual_lai_max,Ls_daily,Ls_daily_lagged
2004-01-01,13.92706,0.1001855,5.160127,4.374849,0,0
2004-01-02,14.03921,0.1009923,5.160127,4.374849,0,0
2004-01-03,14.15136,0.101799,5.160127,4.374849,0,0
2004-01-04,14.26351,0.1026058,5.160127,4.374849,0,0
2004-01-05,14.37566,0.1034125,5.160127,4.374849,0,0
2004-01-06,14.48781,0.1042193,5.160127,4.374849,0,0
2004-01-07,14.59996,0.105026,5.160127,4.374849,0,0
2004-01-08,14.71211,0.1058328,5.160127,4.374849,0,0
2004-01-09,14.82425,0.1066395,5.160127,4.374849,0,0
2004-01-10,14.9364,0.1074463,5.160127,4.374849,0,0
2004-01-11,15.04855,0.1082531,5.160127,4.374849,0,0
2004-01-12,15.1607,0.1090598,5.160127,4.374849,0,0
2004-01-13,15.27285,0.1098666,5.160127,4.374849,0,0
2004-01-14,15.385,0.1106733,5.160127,4.374849,0,0
2004-01-15,15.49715,0.1114801,5.160127,4.374849,0,0
2004-01-16,15.86844,0.114151,5.160127,4.374849,0,0
2004-01-17,16.23973,0.1168219,5.160127,4.374849,0,0
2004-01-18,16.61102,0.1194928,5.160127,4.374849,0,0
2004-01-19,16.98231,0.1221637,5.160127,4.374849,0,0
2004-01-20,17.3536,0.1248346,5.160127,4.374849,0,0
2004-01-21,17.72489,0.1275055,5.160127,4.374849,0,0
2004-01-22,18.09618,0.1301765,5.160127,4.374849,0,0
2004-01-23,18.46748,0.1328474,5.160127,4.374849,0,0
2004-01-24,18.83877,0.1355183,5.160127,4.374849,0,0
2004-01-25,19.21006,0.1381892,5.160127,4.374849,0,0
2004-01-26,19.58135,0.1408601,5.160127,4.374849,0,0
2004-01-27,19.95264,0.143531,5.160127,4.374849,0,0
2004-01-28,20.32393,0.1462019,5.160127,4.374849,0,0
2004-01-29,20.69522,0.1488728,5.160127,4.374849,0,0
2004-01-30,21.28531,0.1531177,5.160127,4.374849,0,0
2004-01-31,21.8754,0.1573626,5.160127,4.374849,0,0
2004-02-01,22.46549,0.1616074,5.160127,4.374849,0,0
2004-02-02,23.05558,0.1658523,5.160127,4.374849,0,0
2004-02-03,23.64567,0.1700972,5.160127,4.374849,0,0
2004-02-04,24.23576,0.174342,5.160127,4.374849,0,0
2004-02-05,24.82585,0.1785869,5.160127,4.374849,0,0
2004-02-06,25.41594,0.1828318,5.160127,4.374849,0,0
2004-02-07,26.00603,0.1870766,5.160127,4.374849,0,0
2004-02-08,26.59612,0.1913215,5.160127,4.374849,0,0
2004-02-09,27.18621,0.1955663,5.160127,4.374849,0,0
2004-02-10,27.7763,0.1998112,5.160127,4.374849,0,0
2004-02-11,28.36639,0.2040561,5.160127,4.374849,0,0
2004-02-12,28.95648,0.2083009,5.160127,4.374849,0,0
2004-02-13,29.30935,0.2108393,5.160127,4.374849,0,0
2004-02-14,29.66223,0.2133778,5.160127,4.374849,0,0
2004-02-15,30.0151,0.2159162,5.160127,4.374849,0,0
2004-02-16,30.36797,0.2184546,5.160127,4.374849,0,0
2004-02-17,30.72084,0.220993,5.160127,4.374849,0,0
2004-02-18,31.07371,0.2235314,5.160127,4.374849,0,0
2004-02-19,31.42658,0.2260698,5.160127,4.374849,0,0
2004-02-20,31.77946,0.2286082,5.160127,4.374849,0,0
2004-02-21,32.13233,0.2311467,5.160127,4.374849,0,0
2004-02-22,32.4852,0.2336851,5.160127,4.374849,0,0
2004-02-23,32.83807,0.2362235,5.160127,4.374849,0,0
2004-02-24,33.19094,0.2387619,5.160127,4.374849,0,0
2004-02-25,33.54381,0.2413003,5.160127,4.374849,0,0
2004-02-26,33.89669,0.2438387,5.160127,4.374849,0,0
2004-02-27,37.36614,0.2687965,5.160127,4.374849,0,0
