time,tc,vpd,patm,co2,ppfd,fapar,precip_molar,growing_season
2004-01-01,-1.6301786,77.281399,96798.818,388.06807,51.243549,1,1986.9546,False
2004-01-15,-3.4076786,67.167708,96549.99,384.90289,64.954268,1,1542.9693,False
2004-01-29,4.8201637,251.17247,97160.76,380.00307,58.624014,1,2947.2518,True
2004-02-12,-0.78877232,108.71696,97589.606,382.02856,102.15795,1,262.04403,False
2004-02-26,-2.7225744,82.055506,97382.167,389.85181,134.90801,1,1193.2568,False
2004-03-11,6.6828423,301.15521,97495.159,388.99461,221.8752,1,1681.8978,True
2004-03-25,4.5718601,295.31637,97215.013,384.02711,281.05863,1,566.19819,True
2004-04-08,7.0540923,328.6061,96953.241,384.80318,310.02879,1,377.46093,True
2004-04-22,11.142411,402.73646,96728.205,381.82476,334.50387,1,1997.8129,True
2004-05-06,10.243378,257.8558,96927.009,382.98736,263.26789,1,4009.0736,True
2004-05-20,9.4737054,317.45938,97612.506,385.21692,320.68181,1,1268.3901,True
2004-06-03,15.162366,460.15074,97535.964,375.86139,406.94136,1,2418.5853,True
2004-06-17,14.044658,531.57321,97071.75,377.09106,309.99955,1,754.41594,True
2004-07-01,14.402113,466.4756,97069.562,370.73398,391.69425,1,2900.8015,True
2004-07-15,17.5725,522.18512,97442.408,381.26853,376.32794,1,3509.9719,True
2004-07-29,18.475193,858.10402,97329.333,389.46519,483.57733,1,0,True
2004-08-12,17.379643,632.46101,96988.632,373.63267,312.86238,1,1402.866,True
2004-08-26,14.640893,497.64062,97700.21,377.23308,337.65142,1,931.89109,True
2004-09-09,12.936905,522.4131,97478.683,373.11436,275.45058,1,1941.8401,True
2004-09-23,11.133155,262.05238,97275.17,375.70956,155.29421,1,2341.9046,True
2004-10-07,6.1291815,198.50982,97110.307,374.46733,174.20088,1,838.10721,True
2004-10-21,10.539696,257.88318,97046.521,382.14798,108.46656,1,1182.1575,True
2004-11-04,3.1563021,64.016071,97460.692,387.27403,55.247511,1,3613.6275,True
2004-11-18,1.8847768,86.019345,97306.726,384.38622,45.469779,1,3635.8035,True
2004-12-02,-0.20410714,83.34003,98261.015,393.22705,65.300248,1,38.857156,False
2004-12-16,0.45136905,102.32887,96587.436,390.15786,41.753873,1,1709.586,True
2004-12-30,4.5690818,207.56533,97852.08,383.89892,46.220459,1,1038.0544,True
2005-01-13,-0.19038393,111.26875,97057.751,385.63723,64.019647,1,2342.2624,False
2005-01-27,-3.8227173,80.608631,97995.501,392.92421,85.980985,1,1526.3797,False
2005-02-10,-1.5585893,75.67128,96595.292,388.32551,79.099591,1,2386.6008,False
2005-02-24,-5.2245655,90.761607,96937.179,396.39741,155.84513,1,654.66769,False
2005-03-10,2.8032946,229.69092,97377.463,399.05716,234.76245,1,1282.1155,True
2005-03-24,6.790814,386.10104,97690.469,406.8685,335.25472,1,333.01776,True
2005-04-07,8.3149375,321.25551,96652.595,406.17285,268.46628,1,582.79798,True
2005-04-21,10.218744,460.21042,97217.528,411.0356,354.95508,1,693.66733,True
2005-05-05,7.4938839,237.7567,97032.318,406.35121,295.41376,1,2836.3115,True
2005-05-19,15.142228,642.27381,97637.528,418.07852,455.30046,1,2168.214,True
2005-06-02,12.291324,446.00446,97343.448,393.74238,372.96563,1,1775.6096,True
2005-06-16,17.729009,741.62351,97603.028,391.89271,527.14843,1,1419.106,True
2005-06-30,15.954634,473.38214,97330.624,392.19279,334.36618,1,3095.7259,True
2005-07-14,16.87753,572.09211,96944.35,385.8398,372.5852,1,2484.8953,True
2005-07-28,15.67135,506.12366,97160.494,381.20387,368.44504,1,2324.0851,True
2005-08-11,15.275219,368.37262,97234.138,401.71884,261.65713,1,3765.3527,True
2005-08-25,16.01714,529.6064,97711.829,410.68203,343.97136,1,72.091404,True
2005-09-08,12.934732,328.8997,97406.64,396.94392,271.88457,1,2240.7401,True
2005-09-22,11.27557,243.92426,97700.4,400.6821,197.55468,1,1709.3995,True
2005-10-06,8.5062411,321.37113,98187.403,397.58064,232.26763,1,0,True
2005-10-20,10.533735,327.50967,97375.607,391.58788,145.39855,1,971.15242,True
2005-11-03,6.2486176,176.33244,97733.411,398.23182,111.4847,1,1165.688,True
2005-11-17,-1.0509077,65.8375,96949.957,392.66143,50.238816,1,1648.5149,False
2005-12-01,0.73826637,75.966964,97430.577,391.45389,48.62507,1,738.28785,True
2005-12-15,-0.18304018,52.348661,96992.098,391.24146,23.194108,1,3824.3377,False
2005-12-29,-3.0787991,56.775446,97790.362,400.98875,58.962506,1,316.17789,False
2006-01-12,-5.1963006,65.344792,98126.251,406.67163,80.878271,1,1493.1435,False
2006-01-26,-5.8663348,61.074107,97791.359,409.72635,104.66471,1,1104.5425,False
2006-02-09,-0.31860714,84.220536,96705.647,392.37345,84.849529,1,1387.5517,False
2006-02-23,-3.1355685,104.18676,96614.714,384.00684,190.31731,1,760.28179,False
2006-03-09,-1.7025223,74.800149,97178.132,387.48087,158.22181,1,2086.4842,False
2006-03-23,5.7871443,235.94687,96688.29,386.40711,231.84787,1,1987.0854,True
2006-04-06,5.7517426,265.21726,96898.814,392.23621,253.75446,1,1165.6005,True
2006-04-20,9.1330878,334.40387,97282.631,404.47451,338.32551,1,1387.412,True
2006-05-04,12.48111,621.97798,97572.141,405.8141,427.41535,1,576.86922,True
2006-05-18,11.920667,451.42679,96861.208,386.28862,347.09143,1,3595.7436,True
2006-06-01,12.323192,602.04866,97976.397,399.96209,472.4294,1,516.21323,True
2006-06-15,18.846652,688.96726,97309.58,428.56219,451.40338,1,4927.9269,True
2006-06-29,18.71082,774.4628,97760.167,411.75497,486.48048,1,1665.591,True
2006-07-13,20.573696,1174.122,97835.888,424.03533,491.46099,1,492.22359,True
2006-07-27,17.773548,628.95818,96774.062,392.95498,279.92704,1,5468.1849,True
2006-08-10,15.065408,432.18646,96805.829,395.72453,299.15238,1,2790.0263,True
2006-08-24,14.874418,399.48676,96993.899,388.08265,256.28893,1,2171.2286,True
2006-09-07,15.043341,603.12039,97446.202,396.91815,306.8455,1,515.62639,True
2006-09-21,14.374734,437.56905,97024.18,411.76735,232.97763,1,3811.6021,True
2006-10-05,9.1758393,232.60744,97790.613,397.49203,193.04385,1,865.66992,True
2006-10-19,11.634318,403.2433,96733.743,381.69795,146.98008,1,2843.0423,True
2006-11-02,5.5667991,173.61637,97466.985,383.80813,86.339293,1,2865.7072,True
2006-11-16,7.4007946,232.10238,97073.1,393.98186,86.136714,1,327.49173,True
2006-11-30,5.7248289,182.99628,97300.811,390.03154,72.540694,1,1508.9143,True
2006-12-14,2.7069598,141.46801,98742.634,397.16939,66.155032,1,882.62191,True
2006-12-28,5.3321429,192.60506,97361.69,385.33258,53.414355,1,1725.1737,True
2007-01-11,3.8265164,214.89896,96968.58,385.55249,69.187049,1,1871.9684,True
2007-01-25,0.73195387,95.92619,97292.756,387.21022,80.467135,1,2159.0619,True
2007-02-08,2.9090833,124.25804,96714.798,393.873,103.05617,1,1941.5446,True
2007-02-22,4.8873735,163.57009,96466.394,397.62702,109.25552,1,2942.9913,True
2007-03-08,4.4340223,202.62783,97399.707,386.0262,212.5055,1,1104.2,True
2007-03-22,5.1746979,337.82217,97435.208,390.32158,355.71553,1,1250.8681,True
2007-04-05,9.4400238,503.42113,97744.065,384.6179,421.00063,1,18.641289,True
2007-04-19,10.275818,647.70387,97668.905,385.15663,580.97561,1,41.272684,True
2007-05-03,12.802766,598.58452,96742.562,383.0758,465.31373,1,3961.7886,True
2007-05-17,15.906746,607.81548,96739.378,421.33903,485.1937,1,4876.5602,True
2007-05-31,17.69918,724.88661,97275.838,454.65704,500.83483,1,613.18312,True
2007-06-14,17.119299,671.96607,96620.711,415.56252,461.73963,1,4391.817,True
2007-06-28,14.628458,474.52976,96764.088,384.59072,387.77737,1,3279.0109,True
2007-07-12,19.580433,900.64003,97109.568,402.46543,495.45623,1,2966.2512,True
2007-07-26,15.95725,594.08065,97185.812,392.71773,409.89358,1,1552.8834,True
2007-08-09,17.042238,415.82649,96795.936,410.65186,315.03502,1,3593.7296,True
2007-08-23,13.308734,323.0936,97499.542,398.7575,333.66818,1,4016.6304,True
2007-09-06,11.523067,235.15997,97424.296,388.31044,241.28878,1,2785.6881,True
2007-09-20,11.383243,263.81324,97462.263,407.07245,226.52675,1,3013.3523,True
2007-10-04,8.6659092,194.06295,97904.74,415.01208,183.66639,1,504.87307,True
2007-10-18,4.0622946,55.264881,98009.768,406.56148,90.148323,1,1620.8469,True
2007-11-01,3.952247,55.532887,97107.138,395.74218,49.493411,1,5639.6786,True
2007-11-15,0.69656994,66.718304,97395.533,404.77575,67.134621,1,1071.3051,True
2007-11-29,4.4144152,137.56577,96451.19,397.1088,52.954563,1,2647.8812,True
2007-12-13,-3.0875595,55.735417,98880.475,421.96104,66.542787,1,1057.9819,False
2007-12-27,0.032049107,109.02321,97666.554,393.94395,60.62907,1,1219.0831,True
2008-01-10,4.7363988,173.25134,97046.433,399.40305,78.846674,1,1870.594,True
2008-01-24,3.8689345,159.90848,97597.155,397.51941,103.46419,1,3352.8841,True
2008-02-07,1.620686,157.65164,98947.202,408.44786,127.37476,1,205.39375,True
2008-02-21,7.0623393,336.91027,97112.082,394.33137,155.69873,1,2742.0483,True
2008-03-06,5.4700179,288.17634,96331.499,399.44487,188.44066,1,2020.4999,True
2008-03-20,4.4328051,285.1125,96110.509,399.63474,299.9222,1,2025.9906,True
2008-04-03,6.1247842,228.23958,96550.243,404.58993,242.24183,1,5828.2465,True
2008-04-17,8.9297961,375.65908,96938.024,401.47186,329.3753,1,1365.3826,True
2008-05-01,12.429926,628.36801,97760.978,410.07103,538.39566,1,693.77801,True
2008-05-15,14.27333,529.75387,97010.558,410.96503,389.78479,1,892.9388,True
2008-05-29,19.231674,921.96696,97145.368,407.73455,566.39939,1,864.43655,True
2008-06-12,16.449423,742.25551,97175.135,399.73367,455.15122,1,2179.4613,True
2008-06-26,18.290141,891.54271,97130.539,389.75312,527.87127,1,1934.589,True
2008-07-10,17.236277,624.9381,97214.729,384.87932,365.03415,1,2179.7018,True
2008-07-24,20.955942,1116.3772,97339.783,413.02659,481.07954,1,637.34607,True
