Day,Wn (mm)
0,54.619772
1,54.087045
2,53.536282
3,55.306693
4,54.731537
5,54.188801
6,53.605105
7,52.983214
8,52.768339
9,53.174900
10,65.120096
11,65.086380
12,65.795966
13,67.469914
14,73.145847
15,86.227232
16,85.509462
17,104.831502
18,107.973812
19,107.864184
20,110.751403
21,112.406137
22,135.885480
23,150.000000
24,150.000000
25,149.134389
26,148.250522
27,147.368029
28,146.466003
29,150.000000
30,150.000000
31,150.000000
32,148.924898
33,150.000000
34,150.000000
35,150.000000
36,149.003068
37,147.795242
38,146.589334
39,149.020987
40,150.000000
41,150.000000
42,150.000000
43,150.000000
44,150.000000
45,149.150830
46,150.000000
47,150.000000
48,148.662780
49,147.242169
50,150.000000
51,150.000000
52,150.000000
53,150.000000
54,148.895879
55,149.628051
56,150.000000
57,150.000000
58,149.393890
59,150.000000
60,148.391305
61,150.000000
62,148.540796
63,147.645532
64,150.000000
65,149.162043
66,148.276081
67,150.000000
68,150.000000
69,148.358736
70,147.834670
71,145.771665
72,143.658587
73,141.458491
74,139.135607
75,136.823471
76,134.610197
77,132.222750
78,129.882281
79,127.692012
80,125.289153
81,122.789788
82,120.765904
83,118.414058
84,116.101224
85,113.719623
86,111.365679
87,108.990383
88,106.553135
89,103.902857
90,101.056938
91,97.879203
92,94.561685
93,91.274783
94,88.321891
95,85.453009
96,82.546334
97,79.522306
98,76.578809
99,73.696838
100,70.676185
101,67.481243
102,64.510370
103,65.838843
104,66.378333
105,63.581291
106,70.749647
107,87.415948
108,84.978603
109,81.843170
110,78.593938
111,75.208418
112,72.035719
113,68.849891
114,65.518108
115,62.203156
116,58.877552
117,55.673512
118,52.696425
119,49.778970
120,46.906694
121,44.171983
122,41.575136
123,39.124862
124,36.801057
125,34.617304
126,32.565249
127,44.436003
128,49.165135
129,46.261030
130,43.528812
131,40.947016
132,38.472821
133,36.132308
134,46.181249
135,55.031939
136,55.052716
137,51.786046
138,48.597290
139,45.545916
140,42.628105
141,39.856289
142,37.252668
143,34.821215
144,32.571985
145,30.500920
146,28.574018
147,26.775746
148,25.101510
149,23.551271
150,22.115514
151,20.784740
152,19.606270
153,18.517272
154,17.510840
155,16.581531
156,15.721598
157,14.933631
158,14.206447
159,17.741658
160,16.777084
161,15.891389
162,15.081070
163,14.341396
164,13.671794
165,13.057260
166,12.496875
167,11.986290
168,11.517073
169,11.079280
170,10.681119
171,10.325391
172,10.001563
173,9.705514
174,9.430134
175,9.177511
176,8.948350
177,8.744328
178,8.562080
179,8.396358
180,8.244475
181,8.101343
182,8.074342
183,8.047322
184,8.018086
185,7.993863
186,7.969863
187,7.945928
188,7.924267
189,7.912136
190,7.914105
191,7.922385
192,7.931438
193,7.939779
194,7.945331
195,7.956974
196,7.973129
197,7.981938
198,7.983415
199,7.989997
200,8.011656
201,8.036720
202,8.060022
203,8.080322
204,8.112888
205,8.150661
206,8.185929
207,8.213560
208,8.231881
209,8.263972
210,8.302234
211,8.342837
212,8.387138
213,8.399131
214,10.197046
215,10.057713
216,9.926424
217,9.809987
218,9.707897
219,9.612057
220,9.521972
221,9.441714
222,9.370780
223,9.321525
224,9.289184
225,9.260466
226,9.241201
227,9.226706
228,9.222017
229,9.219429
230,9.213360
231,9.206454
232,9.203571
233,9.211203
234,9.221234
235,9.228649
236,9.239380
237,9.266407
238,9.294172
239,9.323723
240,9.355048
241,9.379814
242,9.401295
243,13.104287
244,13.963352
245,13.647484
246,13.362226
247,13.101440
248,12.871676
249,12.678947
250,12.511144
251,12.359704
252,12.217959
253,12.092126
254,11.987116
255,11.896515
256,12.201166
257,13.046478
258,12.890259
259,12.752722
260,12.642457
261,12.549298
262,12.469152
263,12.400976
264,12.333803
265,12.531516
266,12.457176
267,12.396439
268,12.351165
269,12.314857
270,12.280115
271,12.246832
272,12.232679
273,12.240852
274,12.121668
275,12.012512
276,11.909714
277,11.817294
278,11.736146
279,11.667722
280,11.608357
281,11.561181
282,14.571315
283,19.374614
284,19.566341
285,19.038907
286,18.552463
287,18.107811
288,17.695328
289,17.316699
290,16.970352
291,16.650003
292,16.355925
293,16.554861
294,16.273301
295,16.020844
296,15.791348
297,15.582710
298,20.215959
299,36.437669
300,36.937090
301,44.927075
302,53.468496
303,58.211508
304,57.088153
305,55.800070
306,54.507216
307,53.194826
308,51.910301
309,50.703269
310,49.528669
311,48.360095
312,47.211408
313,47.289925
314,47.954440
315,47.070367
316,46.196037
317,50.878404
318,51.360085
319,51.020908
320,51.603263
321,50.810448
322,50.011971
323,49.215872
324,48.456286
325,51.612659
326,50.879924
327,50.157486
328,49.401714
329,48.663323
330,48.182395
331,47.706723
332,46.987040
333,56.043609
334,55.381374
335,54.755989
336,54.145133
337,53.526015
338,52.888154
339,52.250660
340,51.624159
341,53.126788
342,52.834462
343,52.362428
344,51.764072
345,52.867256
346,54.775499
347,57.065473
348,59.349374
349,60.562901
350,59.999987
351,59.425154
352,58.897301
353,58.343769
354,57.793553
355,59.574062
356,59.437600
357,58.934697
358,58.705613
359,58.201413
360,57.706340
361,57.179062
362,56.665640
363,56.160188
364,55.668054
365,55.151465
