sf,tair,pn
0.375,9.93783,0
0.375,9.753656,0
0.375,10.229944,0
0.375,10.483301,2.334273
0.375,10.64248,0
0.375,9.074579,0
0.375,10.35766,0
0.375,11.474023,0
0.375,11.075159,0.405731
0.375,11.955652,1.060883
0.375,12.340051,12.620659
0.375,11.051996,0.617128
0.375,11.744409,1.391024
0.375,12.492242,2.388596
0.375,13.038599,6.419028
0.375,13.142999,13.840825
0.375,11.259424,0
0.375,13.004846,20.105391
0.375,14.797937,3.995099
0.375,12.982904,0.702871
0.375,11.543176,3.670806
0.375,11.610681,2.45589
0.375,12.650293,24.329326
0.375,14.039911,24.440212
0.375,13.216455,12.801391
0.375,11.560083,0
0.375,11.582758,0
0.375,11.009454,0
0.375,11.054468,0
0.375,12.721948,19.234687
0.375,10.872736,5.021095
0.375,12.392023,1.757057
0.375,13.745905,0
0.375,15.595148,9.118676
0.375,11.612787,2.929464
0.375,12.977106,10.332678
0.375,13.02749,0.136915
0.375,14.363123,0
0.375,13.731836,0
0.375,13.307001,3.643532
0.375,12.561945,9.636131
0.375,11.35824,5.672738
0.375,10.84353,15.977989
0.375,12.33941,23.340471
0.375,14.11828,15.914164
0.375,11.650415,0.432792
0.375,11.720209,8.074452
0.375,9.872064,1.430471
0.375,11.301355,0
0.375,12.607904,0
0.375,15.100275,16.849544
0.375,11.549768,15.165557
0.375,12.022119,13.453899
0.375,10.272913,12.382504
0.375,8.473291,0.240974
0.375,10.143915,2.182032
0.375,12.746698,4.625265
0.375,12.727686,23.577304
0.375,10.832269,0.951163
0.375,10.803674,12.153125
0.4,10.241541,0
0.4,10.882623,7.311936
0.4,10.911096,0.236581
0.4,12.073816,0.890939
0.4,10.485712,13.24016
0.4,9.405725,0.84884
0.4,9.854242,0.851353
0.4,9.351038,20.724691
0.4,9.774988,5.118021
0.4,11.234552,0.253278
0.4,12.349023,1.463492
0.4,13.154199,0
0.4,13.531274,0
0.4,14.501123,0
0.4,16.037622,0
0.4,15.407434,0
0.4,13.407831,0
0.4,15.71087,0
0.4,14.546198,0
0.4,11.847742,0
0.4,14.669122,0
0.4,15.71908,0
0.4,14.115808,0.395741
0.4,12.733606,0
0.4,11.801782,0
0.4,12.43313,0
0.4,11.686609,0
0.4,11.645166,0
0.4,12.17309,0
0.4,14.80697,0
0.4,17.206476,0
0.462,19.076013,0
0.462,20.577692,0
0.462,19.757532,0
0.462,15.020288,0
0.462,13.631464,0
0.462,13.787439,0
0.462,14.932428,0
0.462,13.62652,0
0.462,12.582849,0
0.462,13.970697,0
0.462,15.791528,0
0.462,17.163965,0.286515
0.462,15.29342,4.44997
0.462,13.315759,3.590105
0.462,12.77627,0.239184
0.462,12.572534,10.180842
0.462,12.169916,19.693772
0.462,11.85058,0.583263
0.462,12.917078,0
0.462,13.970422,0
0.462,15.281763,0
0.462,13.504816,0.077248
0.462,12.564355,0
0.462,14.091577,0
0.462,14.473444,0
0.462,16.355188,0
0.462,15.713342,0
0.462,12.117822,0
0.462,13.198419,0
0.462,15.91665,0
0.55,15.115747,0
0.55,14.989465,0
0.55,14.06048,0
0.55,14.560815,0
0.55,13.450708,0
0.55,12.558679,0
0.55,11.701166,13.797462
0.55,14.138544,7.386806
0.55,13.522485,0
0.55,11.774988,0
0.55,10.77926,0
0.55,12.471582,0
0.55,12.670587,0
0.55,12.270471,12.251748
0.55,12.558099,11.63702
0.55,11.954279,3.22377
0.55,13.748438,0
0.55,16.808008,0
0.55,18.341608,0
0.55,20.938287,0
0.55,23.446985,0
0.55,24.185449,0
0.55,24.012262,0
0.55,21.443719,0
0.55,17.111932,0
0.55,16.092065,0
0.55,16.977625,0
0.55,17.873987,0
0.55,16.354364,0
0.55,14.821527,0
0.55,15.964197,0
0.637,17.106104,0
0.637,15.644159,0
0.637,14.61944,0
0.637,14.038293,0
0.637,12.886987,0
0.637,13.97851,0
0.637,13.347803,0
0.637,11.926019,4.210076
0.637,11.710687,0
0.637,12.507715,0
0.637,13.793268,0
0.637,15.293573,0
0.637,19.342249,0
0.637,26.644006,0
0.637,25.745935,0
0.637,22.538538,0
0.637,19.918787,0
0.637,16.435602,0
0.637,17.034021,0
0.637,20.137323,0
0.637,20.522546,0
0.637,20.073816,0
0.637,17.889246,0
0.637,17.363855,0
0.637,17.611963,0
0.637,19.070032,0
0.637,20.376489,0
0.637,20.216577,0
0.637,19.524622,0
0.637,17.703027,0
0.8,15.636133,0
0.8,15.048303,0
0.8,14.147424,0
0.8,14.324304,0
0.8,13.841516,0
0.8,13.348718,0
0.8,13.163751,0
0.8,14.0104,0
0.8,15.804498,0
0.8,16.653375,0
0.8,16.575494,0
0.8,16.22146,0
0.8,15.503381,0
0.8,16.269556,0
0.8,16.883325,0
0.8,15.411615,0
0.8,14.040125,0
0.8,14.443506,0
0.8,16.601465,0
0.8,17.103387,0
0.8,16.657312,0
0.8,15.978754,0
0.8,18.146173,0
0.8,19.38952,0
0.8,18.78634,0
0.8,17.102869,0
0.8,15.335962,0
0.8,17.484613,0
0.8,18.711359,0
0.8,19.260248,0
0.8,20.316217,0
0.75,22.705072,0
0.75,22.794366,1.783215
0.75,20.270563,0
0.75,18.012628,0
0.75,17.984094,0
0.75,18.127954,0
0.75,16.74856,0
0.75,15.593408,0
0.75,15.307977,0
0.75,15.081018,0
0.75,17.184473,0
0.75,19.197809,0
0.75,18.34881,0
0.75,19.037805,0
0.75,18.735223,0
0.75,19.883661,0
0.75,19.11236,0
0.75,17.267419,0
0.75,16.193048,0
0.75,16.016656,0
0.75,17.04455,0
0.75,16.750543,0
0.75,15.65307,0
0.75,15.538263,0
0.75,17.7633,0
0.75,17.390497,0
0.75,17.236993,0
0.75,17.103326,0
0.75,15.586572,0
0.75,14.667566,0
0.75,14.161768,3.681991
0.737,15.426874,1.116219
0.737,15.319604,0
0.737,15.529871,0
0.737,15.068628,0
0.737,16.094659,0
0.737,19.326166,0
0.737,20.938928,0
0.737,20.109766,0
0.737,18.035883,0
0.737,17.932031,0
0.737,19.34231,0
0.737,19.557855,0
0.737,22.693903,0.375075
0.737,21.104395,0.935186
0.737,17.85235,0
0.737,18.136926,0
0.737,21.722101,0
0.737,24.604669,0
0.737,24.978693,0
0.737,24.226678,0
0.737,19.242944,0
