time,daily_gpp,daily_A0
2004-01-01,6.1606506,0.044317168
2004-01-02,5.3201226,0.038270758
2004-01-03,4.7412783,0.034106792
2004-01-04,6.1581117,0.044298905
2004-01-05,5.7120785,0.041090326
2004-01-06,7.1851456,0.05168696
2004-01-07,7.7716722,0.05590619
2004-01-08,11.648464,0.083794223
2004-01-09,5.3981045,0.038831728
2004-01-10,3.5566819,0.025585296
2004-01-11,11.710571,0.084240994
2004-01-12,13.151226,0.094604471
2004-01-13,5.6428485,0.040592315
2004-01-14,7.6736442,0.055201017
2004-01-15,3.8854627,0.027950409
2004-01-16,7.6567849,0.055079738
2004-01-17,10.363579,0.074551294
2004-01-18,4.3551718,0.031329302
2004-01-19,6.5041675,0.046788287
2004-01-20,2.2393242,0.016108771
2004-01-21,3.1997017,0.023017329
2004-01-22,5.0144009,0.036071522
2004-01-23,6.2663126,0.045077257
2004-01-24,7.3951329,0.053197523
2004-01-25,2.368426,0.017037475
2004-01-26,12.873473,0.092606434
2004-01-27,4.525944,0.032557766
2004-01-28,9.9449172,0.071539614
2004-01-29,11.093191,0.079799817
2004-01-30,7.6723852,0.055191961
2004-01-31,19.02907,0.13688724
2004-02-01,15.261098,0.10978201
2004-02-02,8.2517399,0.059359598
2004-02-03,16.352819,0.1176354
2004-02-04,21.701619,0.15611246
2004-02-05,10.872811,0.078214495
2004-02-06,19.577525,0.14083261
2004-02-07,19.189786,0.13804337
2004-02-08,10.217436,0.073499999
2004-02-09,9.0613612,0.065183679
2004-02-10,10.635657,0.076508512
2004-02-11,4.2121771,0.030300657
2004-02-12,11.015637,0.079241925
2004-02-13,9.4081006,0.067677978
2004-02-14,9.5195216,0.068479495
2004-02-15,13.317442,0.095800159
2004-02-16,13.042015,0.093818853
2004-02-17,15.089635,0.10854858
2004-02-18,10.152501,0.073032886
2004-02-19,6.30829,0.045379225
2004-02-20,16.350494,0.11761868
2004-02-21,20.316194,0.14614628
2004-02-22,14.83207,0.10669577
2004-02-23,8.449964,0.06078554
2004-02-24,18.224641,0.13110052
2004-02-25,15.860029,0.11409048
2004-02-26,20.209696,0.14538018
2004-02-27,17.3027,0.12446846
2004-02-28,20.76836,0.14939898
2004-02-29,8.6510556,0.06223211
2004-03-01,18.807867,0.135296
2004-03-02,11.128367,0.080052863
2004-03-03,7.5003637,0.053954509
2004-03-04,16.528345,0.11889806
2004-03-05,22.250132,0.16005823
2004-03-06,20.638143,0.14846225
2004-03-07,29.200259,0.21005457
2004-03-08,21.301566,0.15323464
2004-03-09,20.653433,0.14857224
2004-03-10,18.229042,0.13113218
2004-03-11,33.965935,0.24433686
2004-03-12,40.445591,0.29094882
2004-03-13,44.097037,0.31721581
2004-03-14,46.364131,0.33352435
2004-03-15,53.642832,0.38588431
2004-03-16,58.748268,0.4226107
2004-03-17,65.13883,0.46858176
2004-03-18,64.517033,0.46410881
2004-03-19,56.172906,0.40408461
