cond,eet,pet,aet,wn,ro
0.48240864,3.59237193,4.52638863,4.52638863,144.44347001,0.00000000
1.51748172,0.00000000,0.00000000,0.00000000,150.00000000,28.30753172
0.71513380,0.38376822,0.48354796,0.48354796,150.00000000,56.39511584
0.00000000,0.86295638,1.08732504,1.08732504,150.00000000,153.65458496
1.10925804,3.35073749,4.22192924,4.22192924,150.00000000,460.77522880
0.60206024,2.83121256,3.56732782,0.09446618,150.00000000,156.34957406
1.02207231,3.32608377,4.19086555,4.19086555,150.00000000,1.41599676
0.81823082,4.85713141,6.11998557,4.80269546,150.00000000,331.67523536
0.30562204,2.06566183,2.60273390,2.60273390,140.80282813,0.00000000
0.58917042,0.28801639,0.36290065,0.36290065,143.31417978,0.00000000
0.69894116,1.99638954,2.51545082,2.12770619,132.05253497,0.00000000
0.68333025,2.23452215,2.81549790,2.81549790,150.00000000,108.00999235
0.53585232,2.31444344,2.91619874,2.91619874,150.00000000,154.82004358
0.31723007,1.92780664,2.42903636,2.42903636,150.00000000,159.46487371
0.87800995,0.24306588,0.30626301,0.30626301,150.00000000,292.92579694
0.65975645,3.58505235,4.51716596,4.23341570,150.00000000,321.59955076
0.44024831,2.64887725,3.33758533,2.93830137,150.00000000,177.36882693
0.19423574,4.51226893,5.68545885,2.67745859,150.00000000,255.75073715
0.41704228,1.13016542,1.42400843,1.42400843,150.00000000,323.45399385
1.06717203,4.07086775,5.12929337,5.12929337,150.00000000,351.69949866
0.82072381,5.48929885,6.91651655,0.02375456,150.00000000,345.35150925
0.65916034,3.67599191,4.63174981,4.63174981,150.00000000,414.18257053
0.39576277,2.54535619,3.20714880,3.20714880,150.00000000,32.42767397
0.41188791,1.75753511,2.21449424,2.05103557,47.74959234,0.00000000
0.69614670,6.05376400,7.62774264,7.61631182,150.00000000,229.60436488
1.33741131,0.00483542,0.00609263,0.00609263,97.52676868,0.00000000
0.67255635,1.40944220,1.77589717,1.77589717,150.00000000,423.67760917
0.33386161,4.85575618,6.11825279,6.11825279,127.03190882,0.00000000
0.67359654,0.35948225,0.45294763,0.45294763,143.09329891,0.00000000
0.56880639,1.84267782,2.32177406,0.07775420,150.00000000,336.10641219
1.00426339,0.00000000,0.00000000,0.00000000,105.55774339,0.00000000
0.91689697,2.67902964,3.37557734,3.37557734,150.00000000,59.98610962
1.08869494,1.84393731,2.32336101,2.32336101,150.00000000,135.97757393
1.08834822,6.08589375,7.66822612,5.16809058,150.00000000,179.77825764
0.62112315,0.92736278,1.16847711,1.16847711,150.00000000,287.83174604
0.60927745,6.48931335,8.17653481,7.49311523,150.00000000,276.28438223
0.11990804,2.14140575,2.69817124,2.69817124,150.00000000,420.47977680
0.45943127,2.72637926,3.43523787,0.25694180,150.00000000,150.43513947
1.59740756,0.00000000,0.00000000,0.00000000,150.00000000,313.65190756
0.88128964,0.07027712,0.08854918,0.08854918,150.00000000,408.59170047
0.73809664,0.16548621,0.20851263,0.20851263,150.00000000,66.20216401
0.68510104,3.75753335,4.73449202,2.30194046,29.11009058,0.00000000
0.74085211,0.29605745,0.37303239,0.37303239,150.00000000,305.17830973
0.00000000,2.34488713,2.95455778,2.95455778,150.00000000,158.91224222
0.64828958,4.45673222,5.61548260,4.78522632,77.22678326,0.00000000
0.82453442,0.97848846,1.23289545,0.71283690,150.00000000,237.26264752
0.53799637,3.46535391,4.36634592,4.25102256,150.00000000,245.09518380
0.93820972,1.76136649,2.21932178,0.14992149,72.88564823,0.00000000
0.68597968,2.57489677,3.24436994,3.24436994,150.00000000,425.89342974
0.24178047,0.96957796,1.22166823,1.22166823,90.44022224,0.00000000
0.27748831,0.75236593,0.94798107,0.94798107,97.93402724,0.00000000
0.37169364,2.68855500,3.38757930,1.24262668,150.00000000,156.87867696
0.61574520,0.78966900,0.99498294,0.99498294,149.56675225,0.00000000
0.60941057,3.16793402,3.99159687,3.99159687,150.00000000,465.60379370
0.70293101,3.40484376,4.29010313,3.25572114,150.00000000,3.50604987
1.00490610,3.99482512,5.03347965,1.42721592,150.00000000,216.69562018
0.11201378,4.90182168,6.17629531,6.17629531,150.00000000,66.12955847
1.69638779,0.00000000,0.00000000,0.00000000,150.00000000,453.08340779
0.61220488,5.36409214,6.75875609,6.75875609,150.00000000,331.70419879
0.47747289,2.89359640,3.64593146,3.64593146,150.00000000,443.80293143
1.02170542,0.27608707,0.34786971,0.34786971,150.00000000,165.18153571
1.15125159,1.27358293,1.60471450,1.60471450,150.00000000,369.16570710
0.00000000,3.39650453,4.27959571,4.27959571,150.00000000,114.42553429
1.27812983,0.77464994,0.97605893,0.97605893,150.00000000,48.29512090
0.32724239,2.82555965,3.56020516,2.05956257,73.46575982,0.00000000
0.62285292,2.69144950,3.39122637,3.39122637,150.00000000,302.54768655
0.34681194,2.48940877,3.13665505,0.56491375,44.05101820,0.00000000
1.54923942,0.00000000,0.00000000,0.00000000,150.00000000,377.81285942
0.21805068,2.17639001,2.74225142,1.94776184,150.00000000,175.47886884
0.77074081,4.62659071,5.82950429,5.70595915,150.00000000,47.00762166
0.91193857,3.87980065,4.88854881,4.04674006,150.00000000,398.46820851
0.54007014,1.60391809,2.02093679,2.02093679,150.00000000,357.95099335
0.00000000,2.64960997,3.33850857,3.33850857,150.00000000,322.84112143
0.57350854,3.77096337,4.75141385,4.25714526,150.00000000,116.34440328
0.33831017,0.00000000,0.00000000,0.00000000,150.00000000,90.70771017
0.64934936,4.25721586,5.36409198,5.36409198,150.00000000,1.11849738
0.20314925,2.29098952,2.88664679,0.33063425,150.00000000,235.83760500
1.39235951,0.00000000,0.00000000,0.00000000,150.00000000,125.48852951
0.67958839,3.71537019,4.68136644,4.68136644,150.00000000,170.16337195
0.39443517,2.38291889,3.00247780,1.48707051,150.00000000,208.81142466
0.88136543,0.38046007,0.47937968,0.47937968,150.00000000,330.40020575
0.73521550,4.01182350,5.05489761,5.05489761,150.00000000,340.84618789
0.90392458,2.81993575,3.55311904,3.55311904,150.00000000,412.86335554
0.68268700,4.07120788,5.12972193,2.20525304,150.00000000,286.10475396
0.40430754,0.32972126,0.41544879,0.41544879,150.00000000,73.06829875
0.41031827,0.89631443,1.12935619,1.10291555,150.00000000,314.62533272
0.29052118,2.72792918,3.43719077,3.43719077,150.00000000,387.27381040
0.35641980,1.90749972,2.40344965,2.40344965,150.00000000,107.97775015
0.36446629,0.87811838,1.10642916,1.10642916,150.00000000,25.43710713
0.43523854,3.22205116,4.05978446,4.05978446,150.00000000,434.63821408
0.40333149,0.06372386,0.08029207,0.08029207,150.00000000,448.06742942
0.47814385,3.20092452,4.03316489,0.81475103,150.00000000,62.01652283
1.52373089,0.00000000,0.00000000,0.00000000,150.00000000,363.61679089
0.52017975,3.44426210,4.33977025,4.33977025,150.00000000,37.51194950
0.43483046,1.93344849,2.43614510,2.32825863,150.00000000,227.27193183
0.14861632,1.27842337,1.61081344,1.61081344,150.00000000,120.07283287
0.31586910,1.73973035,2.19206025,0.23229575,150.00000000,339.13081336
0.68195342,4.14833862,5.22690667,2.34001434,150.00000000,274.39057909
0.38347273,1.93120770,2.43332170,2.43332170,150.00000000,291.10279103
0.85509347,3.45098954,4.34824681,4.34824681,150.00000000,402.49862665
